autoPay,condition_0_conditionDisplayName,condition_0_conditionId,country,discountPriceInfo_0_minimumAdvertisedPriceExposure,discountPriceInfo_0_originalRetailPrice_0_@currencyId,discountPriceInfo_0_originalRetailPrice_0___value__,discountPriceInfo_0_pricingTreatment,discountPriceInfo_0_soldOffEbay,discountPriceInfo_0_soldOnEbay,galleryPlusPictureURL,galleryURL,globalId,isMultiVariationListing,itemId,listingInfo_0_bestOfferEnabled,listingInfo_0_buyItNowAvailable,listingInfo_0_endTime,listingInfo_0_gift,listingInfo_0_listingType,listingInfo_0_startTime,listingInfo_0_watchCount,location,postalCode,primaryCategory_0_categoryId,primaryCategory_0_categoryName,productId_0_@type,productId_0___value__,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0_@currencyId,sellingStatus_0_convertedCurrentPrice_0___value__,sellingStatus_0_currentPrice_0_@currencyId,sellingStatus_0_currentPrice_0___value__,sellingStatus_0_sellingState,sellingStatus_0_timeLeft,shippingInfo_0_expeditedShipping,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shipToLocations,shippingInfo_0_shippingServiceCost_0_@currencyId,shippingInfo_0_shippingServiceCost_0___value__,shippingInfo_0_shippingType,subtitle,title,topRatedListing,viewItemURL
['true'],['New'],['1000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/j-YAAOSwjAFmhs29/s-l140.jpg'],['EBAY-US'],['false'],['196648396790'],['false'],['false'],['2024-12-18T19:06:06.000Z'],['false'],['FixedPrice'],['2024-09-18T18:06:06.000Z'],['556'],['USA'],,['177'],['PC Laptops & Netbooks'],,,['true'],USD,179.99,USD,179.99,['Active'],['P3DT11H21M23S'],['false'],['2'],['true'],['Worldwide'],USD,0,['Free'],,"['HP - 14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Snowflake White']",['false'],['https://www.ebay.com/itm/HP-14-Laptop-Intel-Celeron-4GB-Memory-64GB-eMMC-Snowflake-White-/196648396790']
['true'],['Used'],['3000'],['US'],,,,,,,['https://galleryplus.ebayimg.com/ws/web/325419328312_1_161_1.jpg'],['https://i.ebayimg.com/thumbs/images/g/8GAAAOSwDwtjGz5F/s-l140.jpg'],['EBAY-US'],['false'],['325419328312'],['false'],['false'],['2025-01-10T20:49:34.000Z'],['false'],['FixedPrice'],['2022-11-10T20:49:34.000Z'],['1498'],"['Rochester,NY,USA']",['146**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,79,USD,79,['Active'],['P26DT13H4M51S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],['Full Touchscreen  /  Complete with Charger / FAST SHIPP'],['Dell Latitude 3190 Windows 11 - Laptop 2-in-1 / 64GB / 4GB DDR4 / INTEL 1.1GHZ !'],['true'],['https://www.ebay.com/itm/Dell-Latitude-3190-Windows-11-Laptop-2-in-1-64GB-4GB-DDR4-INTEL-1-1GHZ-/325419328312']
['true'],['New'],['1000'],['US'],['PreCheckout'],USD,249,['MAP'],,,,['https://i.ebayimg.com/thumbs/images/g/78AAAOSwfCVnSd5B/s-l140.jpg'],['EBAY-US'],['false'],['326345833770'],['false'],['false'],['2024-12-20T15:14:23.000Z'],['false'],['FixedPrice'],['2024-11-20T15:14:23.000Z'],['207'],['USA'],,['177'],['PC Laptops & Netbooks'],,,['true'],USD,119,USD,119,['Active'],['P5DT7H29M40S'],['true'],['2'],['true'],['Worldwide'],USD,0,['Free'],,"['Lenovo - IdeaPad 3i Chromebook 15.6"" FHD Laptop - Intel Celeron - 4GB Memory ...']",['false'],['https://www.ebay.com/itm/Lenovo-IdeaPad-3i-Chromebook-15-6-FHD-Laptop-Intel-Celeron-4GB-Memory-/326345833770']
['true'],['Used'],['3000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/L1MAAOSwL2ZnXLRU/s-l140.jpg'],['EBAY-US'],['false'],['176734321043'],['false'],['false'],['2025-01-13T22:30:34.000Z'],['false'],['FixedPrice'],['2024-12-13T22:30:34.000Z'],['25'],"['Dallas,TX,USA']",['752**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,139.99,USD,139.99,['Active'],['P29DT14H45M51S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],,"['HP EliteBook 840 G5 14"" i5-8250U 1.7GHz / 8GB RAM / 256GB SSD Win 10 Pro w/ PWR']",['false'],['https://www.ebay.com/itm/HP-EliteBook-840-G5-14-i5-8250U-1-7GHz-8GB-RAM-256GB-SSD-Win-10-Pro-w-PWR-/176734321043']
['true'],['New'],['1000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/N9IAAOSwEhJnN3fG/s-l140.jpg'],['EBAY-US'],['false'],['196305942422'],['false'],['false'],['2024-12-21T19:52:06.000Z'],['false'],['FixedPrice'],['2024-03-21T18:52:06.000Z'],['531'],['USA'],,['177'],['PC Laptops & Netbooks'],,,['true'],USD,499.99,USD,499.99,['Active'],['P6DT12H7M23S'],['true'],['2'],['true'],['Worldwide'],USD,0,['Free'],,"['Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB...']",['false'],['https://www.ebay.com/itm/Lenovo-Ideapad-1i-15-6-FHD-Touchscreen-Laptop-Intel-Core-i3-1215U-8GB-/196305942422']
['true'],['Good - Refurbished'],['2030'],['US'],,USD,120,['STP'],['false'],['false'],,['https://i.ebayimg.com/thumbs/images/g/NpUAAOSwB4BnIlgt/s-l140.jpg'],['EBAY-US'],['false'],['146142286307'],['true'],['false'],['2024-12-30T17:00:50.000Z'],['false'],['FixedPrice'],['2024-10-30T16:00:50.000Z'],['176'],"['San Marcos,CA,USA']",['920**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,49,USD,49,['Active'],['P15DT9H16M7S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],,"['Dell Latitude 5400 14"" Chromebook P98G005 w/Cel 2.20GHz/4GB/128GB - Good']",['false'],['https://www.ebay.com/itm/Dell-Latitude-5400-14-Chromebook-P98G005-w-Cel-2-20GHz-4GB-128GB-Good-/146142286307']
['true'],['Excellent - Refurbished'],['2010'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/oXIAAOSwAhZnXPjd/s-l140.jpg'],['EBAY-US'],['false'],['264714553889'],['false'],['false'],['2024-12-28T21:15:03.000Z'],['false'],['FixedPrice'],['2020-04-28T20:15:03.000Z'],['3172'],"['Jacksonville,TX,USA']",['757**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,266.5,USD,266.5,['Active'],['P13DT13H30M20S'],['false'],['2'],['false'],['Worldwide'],USD,0,['Free'],,['Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro'],['false'],['https://www.ebay.com/itm/Dell-Latitude-Laptop-Light-Gaming-PC-Core-i7-16GB-RAM-512GB-SSD-Windows-11-Pro-/264714553889']
['false'],['Used'],['3000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/mvwAAOSw7DFnThkY/s-l140.jpg'],['EBAY-US'],['false'],['326359360182'],['true'],['false'],['2025-01-02T20:31:44.000Z'],['false'],['FixedPrice'],['2024-12-02T20:31:44.000Z'],['37'],"['Chino,CA,USA']",['917**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,129.99,USD,129.99,['Active'],['P18DT12H47M1S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],,['Hp ZBook 15 G6 # Intel i7-9850H 2.60Ghz 32gb RAM Gaming Laptop *Read* B13B20B22'],['false'],['https://www.ebay.com/itm/Hp-ZBook-15-G6-Intel-i7-9850H-2-60Ghz-32gb-RAM-Gaming-Laptop-Read-B13B20B22-/326359360182']
['true'],['New'],['1000'],['US'],['PreCheckout'],USD,499.99,['MAP'],,,,['https://i.ebayimg.com/thumbs/images/g/uJgAAOSw9VBnPfwE/s-l140.jpg'],['EBAY-US'],['false'],['326345829023'],['false'],['false'],['2024-12-20T15:06:26.000Z'],['false'],['FixedPrice'],['2024-11-20T15:06:26.000Z'],['59'],['USA'],,['177'],['PC Laptops & Netbooks'],,,['true'],USD,279.99,USD,279.99,['Active'],['P5DT7H21M43S'],['true'],['2'],['true'],['Worldwide'],USD,0,['Free'],,"['HP - 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD - Nat...']",['false'],['https://www.ebay.com/itm/HP-15-6-Touch-Screen-Laptop-Intel-Core-i3-8GB-Memory-256GB-SSD-Nat-/326345829023']
['true'],['Used'],['3000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/nXIAAOSwp5Zlz6a2/s-l140.jpg'],['EBAY-US'],['false'],['326323962677'],['false'],['false'],['2025-01-01T20:26:43.000Z'],['false'],['FixedPrice'],['2024-11-01T19:26:43.000Z'],['460'],"['Rochester,NY,USA']",['146**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,105,USD,105,['Active'],['P17DT12H42M0S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],,"['Dell Latitude 7390 Laptop 13.3"" Laptop Intel Core i5 8GB 128GB SSD Windows 11']",['true'],['https://www.ebay.com/itm/Dell-Latitude-7390-Laptop-13-3-Laptop-Intel-Core-i5-8GB-128GB-SSD-Windows-11-/326323962677']
['true'],['New'],['1000'],['US'],['PreCheckout'],USD,749.99,['MAP'],,,,['https://i.ebayimg.com/thumbs/images/g/p6sAAOSwwjxmmV-1/s-l140.jpg'],['EBAY-US'],['false'],['326138508182'],['false'],['false'],['2024-12-24T13:56:13.000Z'],['false'],['FixedPrice'],['2024-05-24T12:56:13.000Z'],['628'],['USA'],,['177'],['PC Laptops & Netbooks'],,,['true'],USD,449.99,USD,449.99,['Active'],['P9DT6H11M30S'],['true'],['2'],['true'],['Worldwide'],USD,0,['Free'],,['Dell - Inspiron 2-in-1 14IPS LED FHD+ Touch Screen Laptop Intel Core 5 wi...'],['false'],['https://www.ebay.com/itm/Dell-Inspiron-2-in-1-14IPS-LED-FHD-Touch-Screen-Laptop-Intel-Core-5-wi-/326138508182']
['true'],['Used'],['3000'],['US'],,,,,,,,['https://i.ebayimg.com/thumbs/images/g/AUYAAOSwdrZm7Z0T/s-l140.jpg'],['EBAY-US'],['false'],['325344504318'],['false'],['false'],['2024-12-15T19:52:53.000Z'],['false'],['FixedPrice'],['2022-09-15T18:52:53.000Z'],['1341'],"['Rochester,NY,USA']",['146**'],['177'],['PC Laptops & Netbooks'],,,['true'],USD,55,USD,55,['Active'],['P0DT12H8M10S'],['false'],['1'],['false'],['Worldwide'],USD,0,['Free'],['SAME DAY SHIPPING ! SUPPORTED BY GOOGLE TILL June 2029'],"['Lenovo Chromebook 300e 2nd Gen 11.6"" 2in1 Laptop - 2.1GHz CPU 4GB TOUCHSCREEN A']",['true'],['https://www.ebay.com/itm/Lenovo-Chromebook-300e-2nd-Gen-11-6-2in1-Laptop-2-1GHz-CPU-4GB-TOUCHSCREEN-/325344504318']
